date,session,week,exercise,set,reps,weight,rir,band
2026-04-14,W1D1 Upper A,1,Smith Flat Bench Press,1,8,120,4,
2026-04-14,W1D1 Upper A,1,Smith Flat Bench Press,2,8,120,4,
2026-04-14,W1D1 Upper A,1,Smith Flat Bench Press,3,8,120,4,
2026-04-14,W1D1 Upper A,1,Smith Incline Press,1,10,75,4,
2026-04-14,W1D1 Upper A,1,Smith Incline Press,2,10,75,4,
2026-04-14,W1D1 Upper A,1,Smith Incline Press,3,10,75,4,
2026-04-14,W1D1 Upper A,1,Chin-Ups (Wide Overhand),1,6,0,4,Green
2026-04-14,W1D1 Upper A,1,Chin-Ups (Wide Overhand),2,6,0,4,Green
2026-04-14,W1D1 Upper A,1,Chin-Ups (Wide Overhand),3,6,0,4,Green
2026-04-14,W1D1 Upper A,1,Seated Cable Row (Neutral),1,10,140,4,
2026-04-14,W1D1 Upper A,1,Seated Cable Row (Neutral),2,10,140,4,
2026-04-14,W1D1 Upper A,1,Seated Cable Row (Neutral),3,10,140,4,
2026-04-14,W1D1 Upper A,1,Cable Face Pull (Rope),1,15,70,4,
2026-04-14,W1D1 Upper A,1,Cable Face Pull (Rope),2,15,70,4,
2026-04-14,W1D1 Upper A,1,Cable Face Pull (Rope),3,15,70,4,
2026-04-14,W1D1 Upper A,1,Cable EZ Bar Curl,1,10,45,4,
2026-04-14,W1D1 Upper A,1,Cable EZ Bar Curl,2,10,45,4,
2026-04-14,W1D1 Upper A,1,Cable EZ Bar Curl,3,10,45,4,
2026-04-14,W1D1 Upper A,1,Cable OH Tricep Extension,1,10,52.5,4,
2026-04-14,W1D1 Upper A,1,Cable OH Tricep Extension,2,10,52.5,4,
2026-04-14,W1D1 Upper A,1,Cable OH Tricep Extension,3,10,52.5,4,
2026-04-15,W1D2 Lower A,1,Smith Front Squat,1,8,105,4,
2026-04-15,W1D2 Lower A,1,Smith Front Squat,2,8,105,4,
2026-04-15,W1D2 Lower A,1,Smith Front Squat,3,8,105,4,
2026-04-15,W1D2 Lower A,1,Smith Stiff-Leg Deadlift,1,8,115,4,
2026-04-15,W1D2 Lower A,1,Smith Stiff-Leg Deadlift,2,8,115,4,
2026-04-15,W1D2 Lower A,1,Smith Stiff-Leg Deadlift,3,8,115,4,
2026-04-15,W1D2 Lower A,1,Landmine Goblet Squat,1,12,30,4,
2026-04-15,W1D2 Lower A,1,Landmine Goblet Squat,2,12,30,4,
2026-04-15,W1D2 Lower A,1,Landmine Goblet Squat,3,12,30,4,
2026-04-15,W1D2 Lower A,1,Smith Deficit Calf Raise,1,12,115,4,
2026-04-15,W1D2 Lower A,1,Smith Deficit Calf Raise,2,12,115,4,
2026-04-15,W1D2 Lower A,1,Smith Deficit Calf Raise,3,12,115,4,
2026-04-15,W1D2 Lower A,1,Cable Crunch (Kneeling),1,12,45,4,
2026-04-15,W1D2 Lower A,1,Cable Crunch (Kneeling),2,12,45,4,
2026-04-15,W1D2 Lower A,1,Cable Crunch (Kneeling),3,12,45,4,
2026-04-15,W1D2 Lower A,1,Cable Upright Row,1,12,40,4,
2026-04-15,W1D2 Lower A,1,Cable Upright Row,2,12,40,4,
2026-04-17,W1D3 Upper B,1,Smith Close-Grip Bench,1,8,75,4,
2026-04-17,W1D3 Upper B,1,Smith Close-Grip Bench,2,8,75,4,
2026-04-17,W1D3 Upper B,1,Smith Close-Grip Bench,3,8,75,4,
2026-04-17,W1D3 Upper B,1,Cable Fly (Low-to-High),1,12,15,4,
2026-04-17,W1D3 Upper B,1,Cable Fly (Low-to-High),2,12,15,4,
2026-04-17,W1D3 Upper B,1,Cable Lat Pulldown (Close),1,10,180,4,
2026-04-17,W1D3 Upper B,1,Cable Lat Pulldown (Close),2,10,180,4,
2026-04-17,W1D3 Upper B,1,Cable Lat Pulldown (Close),3,10,180,4,
2026-04-17,W1D3 Upper B,1,Landmine Row (Per Arm),1,10,20,4,
2026-04-17,W1D3 Upper B,1,Landmine Row (Per Arm),2,10,20,4,
2026-04-17,W1D3 Upper B,1,Landmine Row (Per Arm),3,10,20,4,
2026-04-17,W1D3 Upper B,1,Cable Cross-Body Lateral,1,15,10,4,
2026-04-17,W1D3 Upper B,1,Cable Cross-Body Lateral,2,15,5,4,
2026-04-17,W1D3 Upper B,1,Cable Cross-Body Lateral,3,15,5,4,
2026-04-17,W1D3 Upper B,1,Cable Rear Delt Fly,1,15,2.5,4,
2026-04-17,W1D3 Upper B,1,Cable Rear Delt Fly,2,15,0,4,
2026-04-17,W1D3 Upper B,1,Cable Rear Delt Fly,3,15,0,4,
2026-04-17,W1D3 Upper B,1,Cable Bayesian Curl,1,10,20,4,
2026-04-17,W1D3 Upper B,1,Cable Bayesian Curl,2,10,20,4,
2026-04-17,W1D3 Upper B,1,Cable Bayesian Curl,3,10,20,4,
